"rev_name","rev_stars","user_name","Source","rev_date"
,4,"Francesco Angela De Salvo","Facebook","2015-03-03"
,5,"Salvatore Bucalo","Facebook","2015-03-03"
,5,"Matteo Sabrina Morò","Google","2015-03-03"
,5,"Lucia Andolfo","Google","2015-03-07"
,5,"Magali Signorel","Facebook","2015-03-08"
,2,"Giovanni Picuti","Facebook","2015-03-18"
"La Sicilia in Umbria",4,"Sapor","Tripadvisor","2015-03-21"
,5,"Vittorrio Marino","Facebook","2015-03-21"
,5,"Pippo Aragona","Facebook","2015-04-04"
"Raccontare o descrivere ...non basta!",5,"eolan","Tripadvisor","2015-04-19"
"Una sorpresa",4,"lgusso","Google","2015-04-20"
"Una sorpresa",4,"sculiero","Tripadvisor","2015-05-02"
"Una bella scoperta",5,"Gilba892","Google","2015-05-06"
"Semplicità e purezza",5,"Pietro D","Google","2015-05-15"
"Dove siamo capitati?",1,"480516","Tripadvisor","2015-05-16"
"Una bellissima serata !!",5,"marcela s","Tripadvisor","2015-05-18"
"La Sicilia a lu centru de lu munnu",5,"natopersoffriggere","Tripadvisor","2015-05-19"
"Una delizia per il palato",5,"Salvatore C","Tripadvisor","2015-06-14"
"da non perdere se passate da Foligno",5,"Daniela c","Google","2015-06-14"
"Mediterraneo sì",4,"Riccardo S","Tripadvisor","2015-06-17"
"Un tuffo in Sicilia",5,"GattaFoligno","Tripadvisor","2015-06-20"
"Una fantastica tavolozza di colori e sapori",5,"Giuseppe S","Tripadvisor","2015-06-22"
"Spettacolare sapori fantastici!!",5,"Cosimo F","Tripadvisor","2015-06-25"
"Vergogna",1,"cinziapc","Tripadvisor","2015-07-01"
"Eccezionale.",5,"Alessandro G","Tripadvisor","2015-07-03"
"La Sicilia in Umbria",5,"DanieleM64","Tripadvisor","2015-07-14"
"Unione di culture...",5,"Mercurio60","Tripadvisor","2015-07-26"
"Mangiare pesce in Umbria",4,"salamitafrancesco","Tripadvisor","2015-08-14"
,5,"Ago ElClan","Facebook","2015-08-28"
"I Sapori della Sicilia in terra Umbra",5,"Giacomo P","Tripadvisor","2015-08-31"
,5,"Giacomo Polverino","Facebook","2015-08-31"
"Bravi!",4,"Valentina T","Tripadvisor","2015-09-14"
"Buono!",4,"Lina I","Tripadvisor","2015-09-14"
"Un salto nella sicula bontà",5,"IreneScroppo","Tripadvisor","2015-09-20"
,5,"Gino Patera","Facebook","2015-09-20"
"A cena  a casa di amici ",5,"Rosario B","Google","2015-10-09"
,5,"Melissa Giacchi","Facebook","2015-10-13"
,5,"Massimo Aurelio Valentini","Facebook","2015-10-14"
,5,"Ant Est","Facebook","2015-10-30"
"Sapori genuini",4,"frank_cesc_","Tripadvisor","2015-11-10"
"Anche i vegani mangiano a Foligno😍😍",5,"Berta D","Google","2015-11-13"
"Biancomangiare. Meravigliosa scoperta di un cibo che mi mi ricorda sapori e profumi della sicilia che credevo perduti.",5,"Ambrogio F","Tripadvisor","2015-12-21"
"veramente eccellente",5,"giovanni p","Tripadvisor","2016-01-18"
,5,"Salvatore Bucolo","Facebook","2016-01-19"
"Bellissima serata",5,"Maria N","Tripadvisor","2016-01-20"
"l'eccellenza siciliana",5,"archimedePG","Tripadvisor","2016-01-20"
"Una serata davvero speciale!",5,"Valentina R","Google","2016-01-25"
"Molto accogliente",5,"Alessandra S","Google","2016-01-26"
"Ancora da capire",3,"Francesco S","Tripadvisor","2016-01-26"
"Una fantastica serata condita da cibo particolare e accoglienza.....speciale!!!",5,"Michele M","Tripadvisor","2016-02-16"
"Cibo particolare...Ambiente tranquillo ed accogliente!",4,"chiaraagos","Tripadvisor","2016-02-19"
"La cucina siciliana in chiave originale e moderna.",4,"gommapiuma8","Tripadvisor","2016-02-21"
"Sapori da favola",4,"Debora B","Tripadvisor","2016-02-27"
"I sapori della cucina siciliana in chiave moderna",5,"TDM1314","Google","2016-02-28"
"Ottimo, tutto",5,"Direzione50","Tripadvisor","2016-03-07"
"Consigliatissimo!!",5,"Guglielmina B","Tripadvisor","2016-03-21"
,5,"Emilio Papa","Facebook","2016-03-30"
"La Sicilia rivisitata al meglio",5,"Alce66F","Tripadvisor","2016-04-28"
"Che bella scoperta!!!!!",5,"Corvi E","Tripadvisor","2016-05-16"
"eccelenza assoluta",5,"ddinno","Tripadvisor","2016-05-27"
"Eccellente!!!",5,"Mattia S","Tripadvisor","2016-06-10"
"Delizioso e Intimo",4,"Filippo S","Tripadvisor","2016-06-26"
